SalePrice,id
119958.03568085963,1461
151482.5673217834,1462
180200.85364774,1463
197515.61919328946,1464
202434.15749064783,1465
170553.80020411688,1466
179791.38144936977,1467
159786.2483976078,1468
196124.18290531286,1469
118848.50907472288,1470
188060.2828704754,1471
98874.49267449236,1472
95139.60535946689,1473
143650.45340084162,1474
107788.4400639634,1475
353637.74295006384,1476
246593.8884917939,1477
299793.5405770778,1478
300047.4223672602,1479
468168.65255183855,1480
321388.2755922097,1481
213626.6613149249,1482
181178.24498756157,1483
160707.47963790988,1484
197392.59475472601,1485
194937.39517316487,1486
335953.36810157466,1487
238785.18885069087,1488
189499.4235518225,1489
239798.1410849979,1490
196908.57696842653,1491
92669.4452314524,1492
190785.53370780358,1493
295743.9681727011,1494
288783.3667803152,1495
234247.278802205,1496
179731.18985015602,1497
171647.37301015304,1498
165691.10372279983,1499
158408.2164527094,1500
172992.95396477004,1501
145806.45401246054,1502
285953.08647676336,1503
241975.47239173632,1504
225726.23686130988,1505
187589.04381076785,1506
244001.42398649058,1507
201683.97047180726,1508
161700.73678232857,1509
142587.41205169642,1510
150707.59090101416,1511
177473.86136942147,1512
153712.5433481867,1513
154169.29629532777,1514
192753.11906772008,1515
155724.71188229826,1516
171602.61980410645,1517
131335.3135724024,1518
209173.90226492216,1519
125480.13938326918,1520
128980.66205255051,1521
179320.27222170786,1522
110060.7866483352,1523
126801.31939841072,1524
117884.95844067333,1525
110336.4166118697,1526
109264.97026908315,1527
140138.65888856375,1528
149754.5069053963,1529
187505.41211882056,1530
107038.98144264375,1531
98599.66704899039,1532
145727.8569499824,1533
127754.78547481145,1534
146880.30646072593,1535
107061.7611781298,1536
61370.931964107054,1537
147900.73574816043,1538
194952.31553586505,1539
98419.39663434506,1540
137951.3332385277,1541
140328.13596767563,1542
178438.88730534527,1543
88908.45240637571,1544
118530.53448154764,1545
138920.08751502185,1546
128140.35533722906,1547
142759.83454615742,1548
123916.79784501834,1549
133387.52200822963,1550
106600.95955781781,1551
133270.63147645837,1552
145111.622669528,1553
116065.46661050554,1554
158658.53647127323,1555
86637.5639340947,1556
105269.77594404801,1557
102073.88963032656,1558
63815.16526167615,1559
134646.87018439127,1560
125800.4566283334,1561
131032.22187926732,1562
117679.93915014046,1563
154206.30751749707,1564
150891.97122510316,1565
239163.52606742567,1566
77679.36499761199,1567
232878.76661160713,1568
124226.72848717525,1569
141737.6220948091,1570
123612.29380225831,1571
140148.8597357381,1572
228540.67790020164,1573
119906.93697284302,1574
229505.79100887402,1575
250118.09643145834,1576
178040.27605979537,1577
150476.4137149983,1578
143380.78514874287,1579
197272.39716811565,1580
156303.7747759936,1581
124485.80428106799,1582
282176.7467947107,1583
216047.37914194146,1584
133838.84086351644,1585
64043.70917234084,1586
107182.11774385917,1587
151703.05292492986,1588
96467.44096752588,1589
133280.25736111958,1590
89610.44809989564,1591
115191.24218792816,1592
126192.8294790736,1593
122740.38034701673,1594
106236.89541185288,1595
214983.62553379417,1596
196103.51870949857,1597
233248.81723808893,1598
166963.75441543479,1599
158619.88866749246,1600
66603.07764393237,1601
118611.56018638269,1602
70791.92304066032,1603
256728.3997178625,1604
241396.14610026486,1605
168356.82895691073,1606
177798.74421209778,1607
216348.25663605187,1608
180674.09855562204,1609
151484.6534222791,1610
137758.68052711905,1611
173327.96553355278,1612
165117.0806683789,1613
129953.92038077745,1614
96441.40108149807,1615
79755.20945406862,1616
95856.17488520275,1617
125122.37079737493,1618
138672.0834848871,1619
146919.25214627286,1620
138712.84926647626,1621
143657.89764377434,1622
258021.06921533382,1623
209067.13569807843,1624
117888.51813464331,1625
173142.29661251282,1626
192792.4357545708,1627
282314.58862697514,1628
184140.16903740965,1629
342627.95657838194,1630
232772.8607033968,1631
247010.49548399635,1632
178442.31576780565,1633
184625.30296358804,1634
174270.41065693373,1635
152515.0714466448,1636
200570.8691100518,1637
177519.02272995384,1638
192763.38974521085,1639
